Task/Milestone Name,Target Date,Category,University/Source,Completion Status,Notes,Responsible Party
SAT Registration Deadline (Oct 3 test),2026-09-05,Testing,College Board,Pending,Final SAT for EA/ED deadlines,Student
Take SAT (Final for EA/ED),2026-10-03,Testing,College Board,Pending,Scores available ~Oct 17,Student
Request Letters of Recommendation,2026-10-01,Applications,All Universities,Pending,Need 2 recommenders for most schools,Student
UNC Chapel Hill EA Application Deadline,2026-10-15,Application,UNC Chapel Hill,Pending,Earliest EA deadline,Student & Parents
NC State EA Application Deadline,2026-11-01,Application,NC State,Pending,Non-binding; priority for scholarships,Student & Parents
App State EA Application Deadline,2026-11-01,Application,App State,Pending,Non-binding,Student & Parents
NC A&T EA Application Deadline,2026-11-01,Application,NC A&T,Pending,Non-binding,Student & Parents
UNC Charlotte EA Application Deadline,2026-11-01,Application,UNC Charlotte,Pending,Non-binding,Student & Parents
Duke ED Application Deadline,2026-11-03,Application,Duke,Pending,BINDING; highest selectivity,Student & Parents
Georgia Tech EA2 Application Deadline,2026-11-03,Application,Georgia Tech,Pending,Non-binding; for non-GA residents,Student & Parents
Submit FAFSA (Priority),2026-11-01,Financial Aid,Federal,Pending,Priority for most schools,Parents & Student
Submit CSS Profile (Duke/others),2026-11-15,Financial Aid,College Board,Pending,Required for Duke and possibly others,Parents & Student
NC State EA Materials Deadline,2026-11-15,Application,NC State,Pending,All supporting documents due,Student & Parents
App State Priority Application Deadline,2026-11-30,Application,App State,Pending,Priority for scholarships and housing,Student & Parents
UCLA Application Deadline,2026-11-30,Application,UCLA,Pending,UC Application; test-blind,Student & Parents
SAT Registration Deadline (Dec 5 test),2026-11-07,Testing,College Board,Pending,Final SAT for RD deadlines,Student
Take SAT (Final for RD),2026-12-05,Testing,College Board,Pending,Scores available ~Dec 19,Student
Duke ED Decision Notification,2026-12-15,Decision,Duke,Pending,ED results released,N/A
NC A&T EA Decision Notification,2026-12-15,Decision,NC A&T,Pending,EA results released,N/A
Duke RD Application Deadline,2027-01-05,Application,Duke,Pending,Non-binding option,Student & Parents
Georgia Tech RD Application Deadline,2027-01-05,Application,Georgia Tech,Pending,Final application deadline,Student & Parents
NC State RD Application Deadline,2027-01-15,Application,NC State,Pending,Final application deadline,Student & Parents
UNC Chapel Hill RD Application Deadline,2027-01-15,Application,UNC Chapel Hill,Pending,Final application deadline,Student & Parents
App State EA Decision Notification,2027-01-15,Decision,App State,Pending,EA results released,N/A
Georgia Tech EA2 Decision Notification,2027-01-15,Decision,Georgia Tech,Pending,EA2 results released,N/A
UNC Charlotte EA Decision Notification,2027-01-15,Decision,UNC Charlotte,Pending,EA results released,N/A
NC State EA Decision Notification,2027-01-30,Decision,NC State,Pending,EA results released,N/A
UNC Chapel Hill EA Decision Notification,2027-01-31,Decision,UNC Chapel Hill,Pending,EA results released,N/A
App State RD Application Deadline,2027-02-01,Application,App State,Pending,Final application deadline,Student & Parents
NC A&T RD Application Deadline,2027-02-01,Application,NC A&T,Pending,Final application deadline,Student & Parents
UNC Charlotte RD Application Deadline,2027-02-01,Application,UNC Charlotte,Pending,Final application deadline,Student & Parents
NC State RD Materials Deadline,2027-02-01,Application,NC State,Pending,All supporting documents due,Student & Parents
App State RD Decision Notification,2027-03-15,Decision,App State,Pending,RD results released,N/A
Georgia Tech RD Decision Notification,2027-03-15,Decision,Georgia Tech,Pending,RD results released,N/A
NC A&T RD Decision Notification,2027-03-15,Decision,NC A&T,Pending,RD results released,N/A
UNC Charlotte RD Decision Notification,2027-03-15,Decision,UNC Charlotte,Pending,RD results released,N/A
NC State RD Decision Notification,2027-03-30,Decision,NC State,Pending,RD results released,N/A
UCLA Decision Notification,2027-03-31,Decision,UCLA,Pending,UC decisions released,N/A
UNC Chapel Hill RD Decision Notification,2027-03-31,Decision,UNC Chapel Hill,Pending,RD results released,N/A
Duke RD Decision Notification,2027-04-01,Decision,Duke,Pending,RD results released,N/A
College Decision Day (National),2027-05-01,Enrollment,All Universities,Pending,Commit to university by this date,Student & Parents
Enrollment Deposit (if accepted),2027-05-01,Enrollment,Selected University,Pending,Confirm enrollment,Parents
Housing Application,2027-05-15,Enrollment,Selected University,Pending,Submit housing preference form,Student & Parents
Orientation Registration,2027-06-01,Enrollment,Selected University,Pending,Register for summer orientation,Student & Parents
High School Graduation,2027-06-15,Personal,Homeschool,Pending,Student's graduation ceremony,Family
Course Registration,2027-07-01,Enrollment,Selected University,Pending,Register for fall courses,Student
Move-In Day,2027-08-15,Enrollment,Selected University,Pending,Approximate move-in date,Family
College Classes Begin,2027-08-20,Enrollment,Selected University,Pending,Approximate first day of classes,Student
